project,"(31, 2025)","(32, 2025)","(33, 2025)","(34, 2025)","(35, 2025)","(36, 2025)","(37, 2025)","(38, 2025)","(39, 2025)","(40, 2025)","(41, 2025)","(42, 2025)","(43, 2025)","(44, 2025)","(45, 2025)","(46, 2025)","(47, 2025)","(48, 2025)","(49, 2025)","(50, 2025)","(51, 2025)","(52, 2025)","(1, 2025)","(1, 2026)","(2, 2026)","(3, 2026)","(4, 2026)","(5, 2026)","(6, 2026)","(7, 2026)","(8, 2026)","(9, 2026)","(10, 2026)",owner_type,distribution_type
autowarefoundation/autoware_core,0,0,1,0,1,0,1,0,0,1,0,0,1,2,0,1,1,1,1,1,2,2,0,0,1,1,1,5,1,1,2,7,5,Organization,humble-only
ros-planning/navigation2,0,3,1,0,1,1,0,2,0,3,4,1,6,0,0,1,4,2,4,2,3,0,2,0,5,4,4,4,0,3,2,2,4,Organization,multi-distro
ros-planning/moveit2,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,4,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,Organization,multi-distro
ika-rwth-aachen/etsi_its_messages,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,Organization,multi-distro
ament/ament_lint,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Organization,multi-distro
ros-controls/ros2_controllers,0,0,1,3,2,3,1,1,2,1,0,1,0,0,1,0,1,1,2,0,1,0,1,0,0,0,3,3,2,6,0,0,0,Organization,multi-distro
aerostack2/aerostack2,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,Organization,humble-only
ros2/rosbag2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,1,0,Organization,multi-distro
ament/ament_cmake,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Organization,multi-distro
ros2/examples,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,multi-distro
MOLAorg/mola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Organization,multi-distro
ros2/demos,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,Organization,multi-distro
ROBOTIS-GIT/open_manipulator,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,multi-distro
carologistics/clips_executive,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,multi-distro
PlanSys2/ros2_planning_system,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ANYbotics/grid_map,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,multi-distro
bosch-engineering/off_highway_sensor_drivers,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,Organization,multi-distro
ros2/ros2cli,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,1,1,0,0,2,2,0,0,0,Organization,multi-distro
ros2/geometry2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,Organization,multi-distro
kroshu/kuka_drivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Organization,humble-only
kroshu/kuka_robot_descriptions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Organization,humble-only
ros2/common_interfaces,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Organization,multi-distro
ros-industrial/ros2_canopen,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,Organization,multi-distro
MRPT/mrpt_ros,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Organization,multi-distro
IntelligentRoboticsLabs/ros2_planning_system,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Organization,humble-only
ros2/rosidl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,Organization,multi-distro
introlab/rtabmap_ros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Organization,multi-distro
locusrobotics/fuse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
Tonywelte/rosidlcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,User,multi-distro
autowarefoundation/autoware_utils,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Organization,multi-distro
clearpathrobotics/clearpath_common,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,Organization,multi-distro
frankaemika/franka_ros2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,Organization,humble-only
gazebosim/ros_gz,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,2,1,0,Organization,multi-distro
EasyNavigation/EasyNavigation,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Organization,multi-distro
autowarefoundation/autoware_msgs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ros-controls/ros2_control,1,2,0,2,1,1,0,0,0,0,1,2,0,0,1,1,2,2,1,0,0,1,0,0,1,1,0,3,2,0,0,1,0,Organization,multi-distro
fzi-forschungszentrum-informatik/lanelet2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Organization,multi-distro
swri-robotics/marti_common,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ROBOTIS-GIT/ai_worker,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,Organization,jazzy-only
ros2/rcl_interfaces,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Organization,multi-distro
Ekumen-OS/andino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Organization,humble-only
husarion/rosbot_ros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,Organization,jazzy-only
ros-perception/image_pipeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Organization,multi-distro
flexbe/flexbe_behavior_engine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
naturerobots/move_base_flex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Organization,multi-distro
mrpt-ros-pkg/mrpt_navigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Organization,multi-distro
ros2/rviz,0,0,1,2,2,0,0,3,1,0,0,0,1,0,1,0,3,1,0,1,2,0,0,0,0,1,0,0,0,1,1,2,0,Organization,multi-distro
open-rmf/rmf_visualization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,multi-distro
ROBOTIS-GIT/turtlebot3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
luxonis/depthai-ros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,Organization,multi-distro
Kinovarobotics/ros2_kortex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,Organization,multi-distro
mrpt-ros-pkg/mrpt_sensors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Organization,multi-distro
open-rmf/rmf_demos,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Organization,multi-distro
open-rmf/rmf_ros2,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,Organization,multi-distro
ros2/ros2_tracing,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,Organization,multi-distro
RobotWebTools/rosbridge_suite,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Organization,multi-distro
UniversalRobots/Universal_Robots_ROS2_Driver,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,2,1,0,0,0,Organization,multi-distro
uleroboticsgroup/yasmin,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Organization,multi-distro
AutoAPMS/auto-apms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Organization,multi-distro
autowarefoundation/agnocast,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,2,Organization,humble-only
autowarefoundation/autoware_internal_msgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
autowarefoundation/autoware_rviz_plugins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,Organization,humble-only
ros-perception/image_common,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,Organization,multi-distro
rt-net/crane_plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Organization,multi-distro
ros/diagnostics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ros2/launch,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Organization,multi-distro
moveit/moveit_task_constructor,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
aussierobots/ublox_dgnss,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,Organization,multi-distro
ros-visualization/qt_gui_core,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Organization,multi-distro
open-rmf/rmf_simulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
pal-robotics/talos_robot,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,Organization,humble-only
ros2/ament_cmake_ros,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ros-misc-utilities/apriltag_detector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
blackcoffeerobotics/bcr_arm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ros/bond_core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Organization,multi-distro
ros-perception/image_transport_plugins,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,multi-distro
ros-controls/gz_ros2_control,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,Organization,multi-distro
ros-teleop/teleop_tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,Organization,multi-distro
mavlink/mavros,0,0,0,1,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,Organization,multi-distro
swri-robotics/mapviz,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,Organization,multi-distro
MOLAorg/mola_state_estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Organization,multi-distro
pal-robotics/pal_pro_gripper,0,0,0,0,1,0,0,0,0,0,2,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,Organization,humble-only
ros-visualization/rqt,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Organization,multi-distro
alliedvision/vimbax_ros2_driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,humble-only
ctu-vras/compass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Organization,multi-distro
clearpathrobotics/clearpath_desktop,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Organization,multi-distro
4am-robotics/cob_common,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ros-drivers/flir_camera_driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
unisa-acg/inverse-dynamics-solver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Organization,multi-distro
eclipse-iceoryx/iceoryx,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
CCNYRoboticsLab/imu_tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Organization,multi-distro
LeoRover/leo_common-ros2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
LeoRover/leo_robot-ros2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Organization,multi-distro
pal-robotics/omni_base_navigation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Organization,humble-only
pal-robotics/omni_base_robot,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Organization,humble-only
open-navigation/opennav_docking,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Organization,humble-only
pal-robotics/pal_gripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,Organization,humble-only
pal-robotics/pal_sea_arm,3,0,0,0,1,0,2,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,Organization,humble-only
pal-robotics/pmb2_navigation,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Organization,humble-only
pal-robotics/pmb2_robot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Organization,humble-only
MetroRobots/polygon_ros,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ros2/rcl,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,Organization,multi-distro
ros2/rclc,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Organization,multi-distro
ros2/rclcpp,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,3,2,2,0,1,2,0,0,1,0,3,0,2,1,4,0,0,Organization,multi-distro
pal-robotics/tiago_navigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,humble-only
pal-robotics/tiago_robot,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Organization,humble-only
pal-robotics/tiago_pro_navigation,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,humble-only
pal-robotics/tiago_pro_robot,2,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,2,2,0,Organization,humble-only
pal-robotics/tiago_pro_head_robot,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Organization,humble-only
turtlebot/turtlebot4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Organization,multi-distro
ctu-vras/ros-utils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Organization,multi-distro
RaphRover/raph_common,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Organization,jazzy-only
Ekumen-OS/beluga,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,Organization,multi-distro
clearpathrobotics/clearpath_simulator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,Organization,multi-distro
MetroRobots/metrics_msgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Organization,humble-only
